"asset_id","relative_path","asset_type","dimensions","source_section","page_or_function","content_or_visual_summary","sensitivity_or_risk","review_status"
"IMG-026","私人与共享/第五十六周周报/image 26.png","png","267x342","量化投研/因子跟踪","基础 K 线因子 1","因子选择器：均线偏离、隔夜涨跌等","因子知识产权","reviewed_visual"
"IMG-027","私人与共享/第五十六周周报/image 27.png","png","265x344","量化投研/因子跟踪","基础 K 线因子 2","因子选择器：换手/流通股本、价格熵等","因子知识产权","reviewed_visual"
"IMG-028","私人与共享/第五十六周周报/image 28.png","png","270x349","量化投研/因子跟踪","基础 K 线因子 3","因子选择器：日内振幅/涨幅及技术指标","因子知识产权","reviewed_visual"
"IMG-029","私人与共享/第五十六周周报/image 29.png","png","252x344","量化投研/因子跟踪","基础 K 线因子 4","因子选择器：MACD、RSI、STOCH","因子知识产权","reviewed_visual"
"IMG-030","私人与共享/第五十六周周报/image 30.png","png","257x125","量化投研/因子跟踪","基础 K 线因子 5","因子选择器尾部：标准动量、截面残差等","因子知识产权","reviewed_visual"
"IMG-031","私人与共享/第五十六周周报/image 31.png","png","266x344","量化投研/因子跟踪","衍生 K 线因子 1","切割反转、时序 alpha、特异波动等","因子知识产权","reviewed_visual"
"IMG-032","私人与共享/第五十六周周报/image 32.png","png","278x346","量化投研/因子跟踪","衍生 K 线因子 2","衍生因子选择器续页","因子知识产权","reviewed_visual"
"IMG-033","私人与共享/第五十六周周报/image 33.png","png","278x67","量化投研/因子跟踪","衍生 K 线因子 3","最大/最小时序残差收益尾部","因子知识产权","reviewed_visual"
"IMG-034","私人与共享/第五十六周周报/image 34.png","png","309x345","量化投研/因子跟踪","日内分钟因子 1","对数价格变化率、线性趋势、开盘涨跌","因子知识产权","reviewed_visual"
"IMG-035","私人与共享/第五十六周周报/image 35.png","png","319x345","量化投研/因子跟踪","日内分钟因子 2","top 5% 成交占比、日内波动率/持续性","因子知识产权","reviewed_visual"
"IMG-036","私人与共享/第五十六周周报/image 36.png","png","311x351","量化投研/因子跟踪","日内分钟因子 3","sample entropy、加权收益、极端收益","因子知识产权","reviewed_visual"
"IMG-037","私人与共享/第五十六周周报/image 37.png","png","320x345","量化投研/因子跟踪","日内分钟因子 4","量价相关性、温和收益","因子知识产权","reviewed_visual"
"IMG-038","私人与共享/第五十六周周报/image 38.png","png","318x347","量化投研/因子跟踪","日内分钟因子 5","振幅、上行波动率、收盘涨幅","因子知识产权","reviewed_visual"
"IMG-039","私人与共享/第五十六周周报/image 39.png","png","320x344","量化投研/因子跟踪","日内分钟因子 6","自相关、左右尾 CVaR","因子知识产权","reviewed_visual"
"IMG-040","私人与共享/第五十六周周报/image 40.png","png","321x342","量化投研/因子跟踪","日内分钟因子 7","左右尾风险、FFT 频谱","因子知识产权","reviewed_visual"
"IMG-041","私人与共享/第五十六周周报/image 41.png","png","309x346","量化投研/因子跟踪","日内分钟因子 8","FFT、Fourier entropy、integrated quarticity/variance","因子知识产权","reviewed_visual"
"IMG-042","私人与共享/第五十六周周报/image 42.png","png","316x341","量化投研/因子跟踪","日内分钟因子 9","能量、噪声方差、realized variance","因子知识产权","reviewed_visual"
"IMG-043","私人与共享/第五十六周周报/image 43.png","png","312x217","量化投研/因子跟踪","日内分钟因子 10","realized variance、TWAP/VWAP 尾页","因子知识产权","reviewed_visual"
"IMG-044","私人与共享/第五十六周周报/image 44.png","png","370x348","量化投研/因子跟踪","Level2 因子 1","超大单买卖强弱、推动涨幅、成交占比","因子知识产权","reviewed_visual"
"IMG-045","私人与共享/第五十六周周报/image 45.png","png","385x347","量化投研/因子跟踪","Level2 因子 2","超大买单成交占比多窗口统计","因子知识产权","reviewed_visual"
"IMG-046","私人与共享/第五十六周周报/image 46.png","png","380x348","量化投研/因子跟踪","Level2 因子 3","超大卖单成交占比、大小单强弱","因子知识产权","reviewed_visual"
"IMG-047","私人与共享/第五十六周周报/image 47.png","png","382x344","量化投研/因子跟踪","Level2 因子 4","大单主动买入、开盘相对涨幅","因子知识产权","reviewed_visual"
"IMG-048","私人与共享/第五十六周周报/image 48.png","png","373x344","量化投研/因子跟踪","Level2 因子 5","大买单成交溢价/占比","因子知识产权","reviewed_visual"
"IMG-049","私人与共享/第五十六周周报/image 49.png","png","384x346","量化投研/因子跟踪","Level2 因子 6","大卖单成交溢价/占比","因子知识产权","reviewed_visual"
"IMG-050","私人与共享/第五十六周周报/image 50.png","png","389x350","量化投研/因子跟踪","Level2 因子 7","买委托成交额偏度、集中度 HHI","因子知识产权","reviewed_visual"
"IMG-051","私人与共享/第五十六周周报/image 51.png","png","377x342","量化投研/因子跟踪","Level2 因子 8","买委托 HHI/均额、卖委托偏度","因子知识产权","reviewed_visual"
"IMG-052","私人与共享/第五十六周周报/image 52.png","png","393x342","量化投研/因子跟踪","Level2 因子 9","卖委托 HHI/均额、平均单笔成交额","因子知识产权","reviewed_visual"
"IMG-053","私人与共享/第五十六周周报/image 53.png","png","380x346","量化投研/因子跟踪","Level2 因子 10","成交价离散度、尾盘超大单","因子知识产权","reviewed_visual"
"IMG-054","私人与共享/第五十六周周报/image 54.png","png","370x345","量化投研/因子跟踪","Level2 因子 11","尾盘超大买/卖强弱与推动","因子知识产权","reviewed_visual"
"IMG-055","私人与共享/第五十六周周报/image 55.png","png","374x344","量化投研/因子跟踪","Level2 因子 12","尾盘超大单成交占比","因子知识产权","reviewed_visual"
"IMG-056","私人与共享/第五十六周周报/image 56.png","png","389x350","量化投研/因子跟踪","Level2 因子 13","尾盘主动买成交占比、买卖均额比","因子知识产权","reviewed_visual"
"IMG-057","私人与共享/第五十六周周报/image 57.png","png","379x345","量化投研/因子跟踪","Level2 因子 14","小单买入强度与推动","因子知识产权","reviewed_visual"
"IMG-058","私人与共享/第五十六周周报/image 58.png","png","387x350","量化投研/因子跟踪","Level2 因子 15","小买/小卖成交与委托金额占比、早盘指标","因子知识产权","reviewed_visual"
"IMG-059","私人与共享/第五十六周周报/image 59.png","png","371x346","量化投研/因子跟踪","Level2 因子 16","早盘超大单推动/成交占比","因子知识产权","reviewed_visual"
"IMG-060","私人与共享/第五十六周周报/image 60.png","png","370x345","量化投研/因子跟踪","Level2 因子 17","早盘成交占比、大单买卖强弱","因子知识产权","reviewed_visual"
"IMG-061","私人与共享/第五十六周周报/image 61.png","png","384x355","量化投研/因子跟踪","Level2 因子 18","早盘大买/大卖占比、主动买均额比","因子知识产权","reviewed_visual"
"IMG-062","私人与共享/第五十六周周报/image 62.png","png","384x351","量化投研/因子跟踪","Level2 因子 19","早盘与全日主动买/卖均额比","因子知识产权","reviewed_visual"
"IMG-063","私人与共享/第五十六周周报/image 63.png","png","377x91","量化投研/因子跟踪","Level2 因子 20","主动买卖均额比尾页、top 20% 均额比","因子知识产权","reviewed_visual"
"IMG-064","私人与共享/第五十六周周报/image 64.png","png","251x258","量化投研/单因子回测","基准指数选择器","上证、沪深、中证等基准列表","研究配置","reviewed_visual"
"IMG-065","私人与共享/第五十六周周报/image 65.png","png","256x257","量化投研/单因子回测","选样空间 1","指数成分、基础股票池、次日可交易股票","研究配置","reviewed_visual"
"IMG-066","私人与共享/第五十六周周报/image 66.png","png","252x251","量化投研/单因子回测","选样空间 2","多个次日盘中时点可交易股票","研究配置","reviewed_visual"
"IMG-067","私人与共享/第五十六周周报/image 67.png","png","248x256","量化投研/单因子回测","作图模块 1","分组收益、IC、热力图、组合净值等","研究配置","reviewed_visual"
"IMG-068","私人与共享/第五十六周周报/image 68.png","png","253x163","量化投研/单因子回测","作图模块 2","超额收益、换手率、自相关等尾页","研究配置","reviewed_visual"
"IMG-069","私人与共享/第五十六周周报/image 69.png","png","1908x874","量化投研/因子跟踪","因子测试结果汇总","过滤区与红蓝热力大表；年度/统计量多级列","因子结果和内部命名","reviewed_visual"
"IMG-070","私人与共享/第五十六周周报/image 70.png","png","1883x879","量化投研/因子跟踪","因子相关性分析","热力图、排名柱图、相关类型和排序控制","因子结果和内部命名","reviewed_visual"
"IMG-071","私人与共享/第五十六周周报/image 71.png","png","1886x843","量化投研/每日核对","实盘回测资产核对","左策略单元、资产/资金偏差图和批次表","内部策略与账户信息","reviewed_visual"
"IMG-072","私人与共享/第五十六周周报/image 72.png","png","1895x858","量化投研/每日核对","绩效核对","多策略/基准累计序列和日度绩效表","内部策略绩效","reviewed_visual"
"IMG-073","私人与共享/第五十六周周报/image 73.png","png","1899x914","量化投研/行业周期研究","行业周期研究-已停用","红绿年度月度热力图、轮动/指标表","研究结果；页面已停用","reviewed_visual"
"IMG-074","私人与共享/第五十六周周报/image 74.png","png","1880x868","量化投研/行业涨跌幅","WIND65 行业涨跌幅","日涨跌行业双表、日期与阈值、局部空状态","WIND 数据许可","reviewed_visual"
"IMG-075","私人与共享/第五十六周周报/image 75.png","png","1898x836","量化投研/行业涨跌幅","八大类行业涨跌幅","日/周/月/半年/年多周期面板","行业研究结果","reviewed_visual"
"IMG-076","私人与共享/第五十六周周报/image 76.png","png","1901x821","量化投研/一致预期","行业数据","行业排名、ROE/FY 预测与覆盖类表格","WIND/一致预期数据许可","reviewed_visual"
"IMG-077","私人与共享/第五十六周周报/image 77.png","png","273x258","量化投研/一致预期","WIND 行业指数选择 1","锂电、光伏、能源设备、石油天然气等","WIND 数据许可","reviewed_visual"
"IMG-078","私人与共享/第五十六周周报/image 78.png","png","272x252","量化投研/一致预期","WIND 行业指数选择 2","化肥农药、建材、金属、钢铁等","WIND 数据许可","reviewed_visual"
"IMG-079","私人与共享/第五十六周周报/image 79.png","png","270x256","量化投研/一致预期","WIND 行业指数选择 3","航天军工、建筑、电网、机械、贸易等","WIND 数据许可","reviewed_visual"
"IMG-080","私人与共享/第五十六周周报/image 80.png","png","277x248","量化投研/一致预期","WIND 行业指数选择 4","商业服务、环保、交通、机场、港口","WIND 数据许可","reviewed_visual"
"IMG-081","私人与共享/第五十六周周报/image 81.png","png","277x256","量化投研/一致预期","WIND 行业指数选择 5","汽车、家电、休闲、纺织、餐饮旅游","WIND 数据许可","reviewed_visual"
"IMG-082","私人与共享/第五十六周周报/image 82.png","png","269x253","量化投研/一致预期","WIND 行业指数选择 6","教育、传媒、零售、消费、农业、食品","WIND 数据许可","reviewed_visual"
"IMG-083","私人与共享/第五十六周周报/image 83.png","png","270x250","量化投研/一致预期","WIND 行业指数选择 7","医疗、制造、银行、金融、券商、保险、地产","WIND 数据许可","reviewed_visual"
"IMG-084","私人与共享/第五十六周周报/image 84.png","png","271x253","量化投研/一致预期","WIND 行业指数选择 8","互联网、软件、通信、硬件、半导体、电力","WIND 数据许可","reviewed_visual"
"IMG-085","私人与共享/第五十六周周报/image 85.png","png","273x65","量化投研/一致预期","WIND 行业指数选择 9","燃气、水务尾部","WIND 数据许可","reviewed_visual"
"IMG-086","私人与共享/第五十六周周报/image 86.png","png","302x352","量化投研/一致预期","指标参数","多选标签与搜索；FY/ROE 指标","一致预期数据许可","reviewed_visual"
"IMG-087","私人与共享/第五十六周周报/image 87.png","png","1898x870","量化投研/一致预期","历史序列","指数/预测叠加线与差分面积图；左筛选器","一致预期研究结果","reviewed_visual"
"IMG-088","私人与共享/第五十六周周报/image 88.png","png","1905x893","量化投研/一致预期","策略表现","规则说明、年度指标、分布、累计收益和回撤","内部策略与绩效","reviewed_visual"
"IMG-089","私人与共享/第五十六周周报/image 89.png","png","1906x324","量化投研","融券管理","日期/代码/可用量过滤；高密度空结果表","融券供给可能是敏感业务数据","reviewed_visual"
"IMG-090","私人与共享/第五十六周周报/image 90.png","png","1901x842","主动投研","财报披露率","行业×季度进度表；查看详情","财报与行业数据许可","reviewed_visual"
"IMG-091","私人与共享/第五十六周周报/image 91.png","png","1908x615","主动投研","财报披露详情","公司×季度披露/预披露勾叉矩阵","公司财报数据","reviewed_visual"
"IMG-092","私人与共享/第五十六周周报/image 92.png","png","1891x870","主动投研","可视化估值","评级预测池、多维图、财务趋势和预览摘要","内部评级和估值","reviewed_visual"
"IMG-093","私人与共享/第五十六周周报/image 93.png","png","1911x877","主动投研","重点监控股票","推荐池、理由、评级、区间图和跟踪记录","内部荐股与个人研究信息","reviewed_visual"
"IMG-094","私人与共享/第五十六周周报/image 94.png","png","1910x867","主动投研","项目报告","报告列表/状态/标签、路演日历和当日资源","研究员与项目内部信息","reviewed_visual"
"IMG-095","私人与共享/第五十六周周报/image 95.png","png","1902x867","主动投研","股票池及模拟盘 1","多分区面板、日期与添加操作；多为空状态","内部股票池/模拟组合","reviewed_visual"
"IMG-096","私人与共享/第五十六周周报/image 96.png","png","1917x879","主动投研","股票池及模拟盘 2","收益/核对布局、右侧日历与点评；多为空状态","内部股票池/模拟组合","reviewed_visual"
"IMG-097","私人与共享/第五十六周周报/image 97.png","png","1917x220","主动投研","主题点亮","主题列表、新建、筛选、点赞和分页","含发起人信息","reviewed_visual"
"IMG-098","私人与共享/第五十六周周报/image 98.png","png","1908x881","主动投研","指数估值","估值/分位表与历史估值/市场指数图","内部估值模型结果","reviewed_visual"
"IMG-099","私人与共享/第五十六周周报/image 99.png","png","1908x855","主动投研","估值统计 1","指标热力表、参数表、二阶段 PB 散点/曲线","内部估值模型与参数","reviewed_visual"
"IMG-100","私人与共享/第五十六周周报/image 100.png","png","1908x878","主动投研","估值统计 2","同页另一滚动/数据状态；完整散点图与图例","内部估值模型与参数","reviewed_visual"
"IMG-101","私人与共享/第五十六周周报/image 101.png","png","1890x869","主动投研","AI 景气度仪表盘","深蓝侧栏、检查清单和语义色 KPI 卡片","内部生成快照与模型阈值","reviewed_visual"
"IMG-102","私人与共享/第五十六周周报/image 102.png","png","1909x831","产品报表","市场观察","指数卡、市场走势、两融/流动性、估值/风险溢价","产品经营与市场数据","reviewed_visual"
"IMG-103","私人与共享/第五十六周周报/image 103.png","png","1906x733","产品报表","规模仪表盘 1","规模/申赎、双环图和底部趋势；多空状态","产品规模/申赎敏感数据","reviewed_visual"
"IMG-104","私人与共享/第五十六周周报/image 104.png","png","1896x523","产品报表","规模仪表盘 2","销售渠道规模/风险类型两个时点环图与趋势","产品、渠道和客户风险类型数据","reviewed_visual"
"IMG-105","私人与共享/第五十六周周报/image 105.png","png","1903x876","产品报表","市场渠道仪表盘","渠道趋势、申赎、渠道/净申购占比；多空状态","渠道与申赎敏感数据","reviewed_visual"
"IMG-106","私人与共享/第五十六周周报/image 106.png","png","1898x256","产品报表","竞品报表筛选","多日期条件、上传/查询和空结果","竞品内部分析","reviewed_visual"
"IMG-107","私人与共享/第五十六周周报/image 107.png","png","780x246","产品报表","竞品报表-主动多头","报表类型/发布日期、区间收益表和导出 Excel","竞品数据与来源许可","reviewed_visual"
"IMG-108","私人与共享/第五十六周周报/image 108.png","png","1089x277","产品报表","产品/经营/客服导航","产品报表、结算估值、TRS、客服中心分栏模块清单","内部功能与客户域结构","reviewed_visual"
"WEB-001","nested_assets/AI景气度仪表盘_files/0","jpeg","480x480","嵌套网页资源","无关头像资源","可识别人物证件/头像式照片；与业务页面无关","高度敏感个人信息；应移除或严格授权","reviewed_visual"
"WEB-002","nested_assets/AI景气度仪表盘_files/4393.44d5696d.async.js.下载","javascript","","嵌套网页资源","共享异步代码块 4393","Webpack 编译的共享模块/运行时依赖","编译产物暴露内部实现","reviewed_static"
"WEB-003","nested_assets/AI景气度仪表盘_files/6330.2a850835.async.js.下载","javascript","","嵌套网页资源","共享异步代码块 6330","Webpack 编译的 Ant Design 类共享模块","编译产物暴露内部实现","reviewed_static"
"WEB-004","nested_assets/AI景气度仪表盘_files/688.9b0f5c16.async.js.下载","javascript","","嵌套网页资源","共享异步代码块 688","Webpack 编译的组件/研究相关共享模块","编译产物暴露内部实现","reviewed_static"
"WEB-005","nested_assets/AI景气度仪表盘_files/7656.f71df67c.async.js.下载","javascript","","嵌套网页资源","共享异步代码块 7656","Webpack 编译的兼容层/共享模块","编译产物暴露内部实现","reviewed_static"
"WEB-006","nested_assets/AI景气度仪表盘_files/7779.87abd5ff.async.js.下载","javascript","","嵌套网页资源","共享异步代码块 7779","含通用权限/数据访问类模块","可能暴露数据访问模式","reviewed_static"
"WEB-007","nested_assets/AI景气度仪表盘_files/7787.bfce795d.async.js.下载","javascript","","嵌套网页资源","共享异步代码块 7787","含 Axios 0.27.2 等 HTTP 依赖","编译产物暴露依赖版本","reviewed_static"
"WEB-008","nested_assets/AI景气度仪表盘_files/7825.5459ec9b.async.js.下载","javascript","","嵌套网页资源","共享异步代码块 7825","Webpack 编译的共享模块","编译产物暴露内部实现","reviewed_static"
"WEB-009","nested_assets/AI景气度仪表盘_files/8054.108eba9a.async.js.下载","javascript","","嵌套网页资源","共享异步代码块 8054","含资讯/请求安全提示类逻辑","编译产物暴露内部实现","reviewed_static"
"WEB-010","nested_assets/AI景气度仪表盘_files/8365.af0fc9b3.async.js.下载","javascript","","嵌套网页资源","Ant Design Pro Layout 依赖块","布局组件及共享依赖","编译产物暴露依赖与结构","reviewed_static"
"WEB-011","nested_assets/AI景气度仪表盘_files/chart.umd.min.js.下载","javascript","","嵌套网页资源","Chart.js","Chart.js 4.4.1 UMD 库","第三方 MIT 许可需保留声明","reviewed_static"
"WEB-012","nested_assets/AI景气度仪表盘_files/chartjs-adapter-date-fns.bundle.min.js.下载","javascript","","嵌套网页资源","Chart.js 时间适配器","chartjs-adapter-date-fns 3.0.0","第三方 MIT 许可需保留声明","reviewed_static"
"WEB-013","nested_assets/AI景气度仪表盘_files/dx.common.css","css","","嵌套网页资源","DevExtreme 公共样式","DevExtreme DataGrid/组件基础与 compact light 字体样式","需核查商业许可和版本","reviewed_static"
"WEB-014","nested_assets/AI景气度仪表盘_files/loading.js.下载","javascript","","嵌套网页资源","加载页脚本","主应用加载/启动辅助逻辑","编译产物暴露内部加载流程","reviewed_static"
"WEB-015","nested_assets/AI景气度仪表盘_files/logo.svg","svg","viewBox 492.2x170","嵌套网页资源","平台 Logo","金/灰品牌矢量标识；Adobe Illustrator 导出","品牌资产","reviewed_static"
"WEB-016","nested_assets/AI景气度仪表盘_files/p__Welcome.6eb90a17.async.js.下载","javascript","","嵌套网页资源","Welcome 路由代码块","欢迎页/工作台懒加载代码","编译产物暴露内部路由实现","reviewed_static"
"WEB-017","nested_assets/AI景气度仪表盘_files/p__investment__active__financialReport__reportDetail__index.70a57640.chunk.css","css","","主动投研","财报详情样式","财报详情路由的局部样式","页面级编译样式","reviewed_static"
"WEB-018","nested_assets/AI景气度仪表盘_files/p__investment__active__financialReport__reportReveal__index.f5c8fb74.chunk.css","css","","主动投研","财报披露样式","财报披露路由的局部样式","页面级编译样式","reviewed_static"
"WEB-019","nested_assets/AI景气度仪表盘_files/p__investment__active__goldStock__index.29f630b9.chunk.css","css","","主动投研","重点监控股票样式","重点股票路由的局部样式","页面级编译样式","reviewed_static"
"WEB-020","nested_assets/AI景气度仪表盘_files/p__investment__active__proposal__index.aecc09fa.chunk.css","css","","主动投研","项目报告样式","项目报告路由的局部样式","页面级编译样式","reviewed_static"
"WEB-021","nested_assets/AI景气度仪表盘_files/p__investment__active__reports__marketCapture2__index.fd9dc601.chunk.css","css","","主动投研","指数估值/估值统计样式","市场估值路由局部样式；体积最大页面 CSS","页面级编译样式","reviewed_static"
"WEB-022","nested_assets/AI景气度仪表盘_files/p__investment__active__starProposal__index.b9f06dc7.chunk.css","css","","主动投研","主题点亮样式","主题点亮路由的局部样式","页面级编译样式","reviewed_static"
"WEB-023","nested_assets/AI景气度仪表盘_files/p__investment__active__stockPool__index.c21e5dba.chunk.css","css","","主动投研","股票池样式","股票池及模拟盘路由局部样式","页面级编译样式","reviewed_static"
"WEB-024","nested_assets/AI景气度仪表盘_files/p__investment__active__stockValuation__index.403a860f.chunk.css","css","","主动投研","可视化估值样式","可视化估值路由局部样式","页面级编译样式","reviewed_static"
"WEB-025","nested_assets/AI景气度仪表盘_files/p__investment__active__yipingWorksheet__index.ebec293f.chunk.css","css","","主动投研","一平观点样式","一平观点路由局部样式","页面级编译样式","reviewed_static"
"WEB-026","nested_assets/AI景气度仪表盘_files/preload_helper.2c9404ea.js.下载","javascript","","嵌套网页资源","预加载辅助","资源预取/预加载辅助脚本","编译产物暴露资源策略","reviewed_static"
"WEB-027","nested_assets/AI景气度仪表盘_files/semi-tracker.html","html","","主动投研","AI 景气度仪表盘完整静态页","内嵌 CSS/JSON/图表；检查清单、GPU、CDS、Token、电力、公司、巨头、数据中心和研报","含绝对内部链接、静态业务数据快照和阈值模型","reviewed_full"
"WEB-028","nested_assets/AI景气度仪表盘_files/t__plugin-layout__Layout.0b5cc481.async.js.下载","javascript","","嵌套网页资源","Umi 布局代码块","plugin-layout/Ant Design Pro Layout 懒加载模块","编译产物暴露布局实现","reviewed_static"
"WEB-029","nested_assets/AI景气度仪表盘_files/t__plugin-layout__Layout.5012e1ab.chunk.css","css","","嵌套网页资源","Umi 布局样式","主应用布局局部样式","页面级编译样式","reviewed_static"
"WEB-030","nested_assets/AI景气度仪表盘_files/umi.14e66909.js.下载","javascript","","嵌套网页资源","Umi 主应用 bundle","Umi 4.3.20、React 17.0.2、DVA、路由、API、ECharts、DevExtreme、认证等","暴露约 80 个内部路由、API 形态和数据访问模式","reviewed_full"
"WEB-031","nested_assets/AI景气度仪表盘_files/umi.20840b9f.css","css","","嵌套网页资源","主应用全局样式","Ant Design/DevExtreme/平台全局样式和设计色","编译产物；需核查第三方许可","reviewed_static"
"WEB-032","nested_assets/AI景气度仪表盘_files/wwLogin-1.2.7.js.下载","javascript","","嵌套网页资源","企业微信登录","企业微信扫码登录脚本 1.2.7","认证依赖；需评估供应链和 CSP","reviewed_static"
