"编号","URL","来源名","类别","支持的结论","访问日期"
"S48","https://docs.static.szse.cn/www/lawrules/rule/trade/W020250403603802169453.pdf","深圳证券交易所程序化交易管理实施细则","交易所规则/官方","高频系统服务器所在地、测试报告、应急方案以及交易所细化要求。","2026-07-27"
"S49","https://www.csrc.gov.cn/csrc/c100028/c7564353/content.shtml","期货市场程序化交易管理规定（试行）","期货监管/官方","期货程序化交易自 2025-10-09 起实施全过程监管。","2026-07-27"
"S50","https://www.csrc.gov.cn/csrc/c101953/c7202800/content.shtml","证券期货业网络和信息安全管理办法","证券期货安全/官方","重要系统、个人信息、供应商、应急和网络安全全生命周期要求。","2026-07-27"
"S51","https://jupyterhub.readthedocs.io/","JupyterHub Documentation","研究平台/官方文档","多用户、隔离计算环境适合受治理的量化研究工作台。","2026-07-27"
"S52","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2326253","The Probability of Backtest Overfitting","量化研究/论文","支持用 PBO 和多重试验意识抑制回测数据挖掘偏差。","2026-07-27"
"S53","https://www.w3.org/TR/shacl/","Shapes Constraint Language (SHACL)","本体/标准","SHACL 为 RDF 图提供可执行约束和验证。","2026-07-27"
"S54","https://www.w3.org/TR/prov-dm/","PROV-DM","数据来源/标准","PROV 数据模型表达实体、活动、代理和派生来源。","2026-07-27"
"S55","https://www.w3.org/TR/owl2-overview/","OWL 2 Web Ontology Language Overview","本体/标准","OWL 2 用于共享语义、分类和关系建模。","2026-07-27"
"S56","https://www.w3.org/TR/vocab-dcat-3/","Data Catalog Vocabulary (DCAT) v3","数据目录/标准","DCAT 3 支持数据集、服务、分发和目录互操作。","2026-07-27"
"S57","https://spec.edmcouncil.org/fibo/ontology","Financial Industry Business Ontology","金融本体/行业标准","FIBO 提供金融概念参考；成熟度和范围差异支持选择性映射而非整库导入。","2026-07-27"
"S58","https://www.keycloak.org/docs/latest/server_admin/index.html","Keycloak Server Administration Guide","IAM/官方文档","OIDC、OAuth、SAML、LDAP/AD 与身份生命周期能力。","2026-07-27"
"S59","https://www.openpolicyagent.org/docs/","Open Policy Agent Documentation","策略/官方文档","策略决策与执行点解耦，适合上下文 ABAC 和决策日志。","2026-07-27"
"S60","https://openfga.dev/docs/fga","OpenFGA Authorization Concepts","关系授权/官方文档","关系元组适合 owner、member、delegate、share 等 ReBAC。","2026-07-27"
"S61","https://openid.net/specs/fapi-security-profile-2_0-final.html","FAPI 2.0 Security Profile Final","金融 API/标准","高安全 API 采用 sender-constrained token 和 OAuth 安全最佳实践。","2026-07-27"
"S62","https://kubernetes.io/blog/2026/04/22/kubernetes-v1-36-release/","Kubernetes v1.36 Release","容器平台/官方公告","1.36 已 GA 但发布时间较近，支持生产先采用 N-1。","2026-07-27"
"S63","https://opentelemetry.io/docs/","OpenTelemetry Documentation","可观测性/官方文档","用统一标准采集 traces、metrics、logs 并传播上下文。","2026-07-27"
"S64","https://slsa.dev/spec/v1.2/","SLSA v1.2 Specification","供应链/标准","构建 provenance 和供应链保障等级。","2026-07-27"
"S65","https://docs.sigstore.dev/cosign/signing/signing_with_containers/","Signing Containers with Cosign","供应链/官方文档","容器镜像签名与 attestations 支持准入验证。","2026-07-27"
"S66","https://argo-cd.readthedocs.io/en/stable/","Argo CD Documentation","GitOps/官方文档","声明式 GitOps、差异检测和受控发布。","2026-07-27"
"S67","https://openlineage.io/docs/","OpenLineage Documentation","数据血缘/开放标准","以 job、run、dataset、facet 表达运行时血缘。","2026-07-27"
"S68","https://docs.open-metadata.org/v1.12.x/how-to-guides/data-lineage","OpenMetadata Data Lineage","数据治理/官方文档","一体化目录、血缘、质量、域与数据产品能力适合首期。","2026-07-27"
"S69","https://docs.datahub.com/docs/metadata-modeling/metadata-model/","DataHub Metadata Model","数据治理/官方文档","可扩展 metadata graph 是大型组织的备选，但不应与另一主目录并行。","2026-07-27"
"S70","https://mlflow.org/docs/latest/ml/model-registry/","MLflow Model Registry","MLOps/官方文档","模型版本、血缘、别名和生命周期治理；同套平台可扩展提示与 GenAI 评测。","2026-07-27"
"S71","https://kserve.github.io/website/","KServe","模型服务/官方文档","Kubernetes 原生模型推理控制平面和伸缩能力。","2026-07-27"
"S72","https://docs.feast.dev/","Feast Documentation","特征平台/官方文档","训练/在线特征一致性能力，同时支持延迟引入以避免过早复杂化。","2026-07-27"
"S73","https://docs.vllm.ai/en/v0.14.0/serving/openai_compatible_server/","vLLM 0.14 OpenAI-Compatible Server","LLM 服务/官方文档","自托管高吞吐 LLM 推理和兼容 API；兼容层不等于完整标准。","2026-07-27"
"S74","https://www.cac.gov.cn/2025-12/29/c_1768735112911946.htm","中华人民共和国网络安全法（2025 年修正）","中国法律/官方","境内网络运行安全、关键信息基础设施、监测预警与责任要求。","2026-07-27"
"S75","https://www.cac.gov.cn/2021-06/11/c_1624994566919140.htm","中华人民共和国数据安全法","中国法律/官方","数据分类分级、重要数据、风险监测和数据安全义务。","2026-07-27"
"S76","https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm","中华人民共和国个人信息保护法","中国法律/官方","个人信息处理依据、敏感信息、个人权利、跨境和处理者义务。","2026-07-27"
"S77","https://www.cac.gov.cn/2024-09/30/c_1729384452307680.htm","网络数据安全管理条例","中国行政法规/官方","自 2025-01-01 实施的网络数据处理、重要数据、委托、跨境和安全管理要求。","2026-07-27"
"S78","https://www.cac.gov.cn/2024-03/22/c_1712776611775634.htm","促进和规范数据跨境流动规定","数据跨境/官方","出境安全评估、标准合同、认证的适用阈值与豁免边界。","2026-07-27"
"S79","https://www.cac.gov.cn/2022-07/07/c_1658811536396503.htm","数据出境安全评估办法","数据跨境/官方","重要数据和个人信息出境的事前自评估、申报与持续监督。","2026-07-27"
"S80","https://www.cac.gov.cn/2026-06/13/c_1782919789934988.htm","金融信息服务数据分类分级指南","金融数据监管/官方","业务、用户、企业分类及核心、重要、敏感一般、常规一般四级体系。","2026-07-27"
"S81","https://cfstc.pbc.gov.cn/bzgk/detail/?bzId=1873&id=0","JR/T 0197—2020 金融数据安全 数据安全分级指南","金融行业标准/官方","金融数据分级方法和保护基线。","2026-07-27"
"S82","https://cfstc.pbc.gov.cn/bzgk/detail/?bzId=1856&id=0","JR/T 0171—2020 个人金融信息保护技术规范","金融行业标准/官方","个人金融信息收集、传输、存储、使用、共享、删除的技术控制。","2026-07-27"
"S83","https://std.samr.gov.cn/gb/search/gbDetailed?id=88F4E6DA63434198E05397BE0A0ADE2D","GB/T 22239-2019 网络安全等级保护基本要求","国家标准/官方","等保 2.0 通用安全、云、移动和大数据相关控制基线。","2026-07-27"
"S84","https://www.hunan.gov.cn/zqt/zcsd/202108/t20210818_20374006.html","关键信息基础设施安全保护条例","中国行政法规/官方","金融属于 CII 重点行业范围之一，实际认定由主管部门实施。","2026-07-27"
"S85","https://www.oscca.gov.cn/sca/xxgk/2023-06/04/content_1057225.shtml","中华人民共和国密码法","商用密码/官方","依法需要商用密码保护的 CII 应使用商用密码并开展密评。","2026-07-27"
"S86","https://www.oscca.gov.cn/sca/xxgk/2021-03/19/content_1060852.shtml","GB/T 39786-2021 信息系统密码应用基本要求","商用密码/国家标准","物理、网络、设备、应用和数据四层密码技术及管理要求。","2026-07-27"
"S87","https://www.oscca.gov.cn/sca/xxgk/2025-06/27/content_1061270.shtml","关键信息基础设施商用密码使用管理规定","商用密码/官方","自 2025-08-01 实施的 CII 商用密码建设、运行、评估和监督要求。","2026-07-27"
"S88","https://www.cac.gov.cn/2026-06/18/c_1783525609778371.htm","网络数据安全风险评估办法","数据安全评估/官方","自 2026-08-20 实施；重要数据处理者年度评估、重大变化及时评估。","2026-07-27"
"S89","https://www.cac.gov.cn/2025-02/14/c_1741233507681519.htm","个人信息保护合规审计管理办法","个人信息/官方","自 2025-05-01 实施的定期个人信息保护合规审计要求。","2026-07-27"
"S90","https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm","生成式人工智能服务管理暂行办法","生成式 AI 监管/官方","面向境内公众的生成式 AI 服务在备案、安全、内容、数据和个人信息方面的要求。","2026-07-27"
"S91","https://www.cac.gov.cn/2025-03/14/c_1743654684782215.htm","人工智能生成合成内容标识办法","AI 内容监管/官方","文本、图片、音频、视频等 AI 内容的显式与隐式标识要求。","2026-07-27"
"S92","https://www.cac.gov.cn/2022-01/04/c_1642894606364259.htm","互联网信息服务算法推荐管理规定","算法监管/官方","算法机制审核、评估验证、用户权利、安全制度与备案要求。","2026-07-27"
"S93","https://www.cac.gov.cn/2025-09/15/c_1759583017717009.htm","国家网络安全事件报告管理办法","事件响应/官方","自 2025-11-01 实施的网络安全事件分级、处置和报告要求。","2026-07-27"
