title,url,product,capability,priority,key_evidence,accessed_on,discovered_in
apollo-cli helm-chart validate [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_helm-chart_validate/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli label [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_label/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli label delete [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_label_delete/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli label get [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_label_get/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli label list [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_label_list/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli label set [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_label_set/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli module,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_module/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli module create,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_module_create/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli module diff [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_module_diff/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli module evaluate [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_module_evaluate/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli module flatten [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_module_flatten/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli module get [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_module_get/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli module install [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_module_install/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli module list [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_module_list/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli module lock,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_module_lock/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli module update,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_module_update/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product-release,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product-release/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product-release asset,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product-release_asset/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product-release asset publish,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product-release_asset_publish/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product-release create,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product-release_create/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product-release get,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product-release_get/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product-release helm-chart,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product-release_helm-chart/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product-release helm-chart init,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product-release_helm-chart_init/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product-release init,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product-release_init/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product-release list,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product-release_list/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product-release terraform,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product-release_terraform/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product-release terraform init,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product-release_terraform_init/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product-release verify,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product-release_verify/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product list,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product_list/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product promotion [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product_promotion/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product promotion append [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product_promotion_append/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product promotion disable [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product_promotion_disable/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product promotion enable [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product_promotion_enable/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product promotion get [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product_promotion_get/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli product promotion set [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_product_promotion_set/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli profile [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_profile/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli profile create [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_profile_create/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli profile delete [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_profile_delete/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli profile export [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_profile_export/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli profile import [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_profile_import/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli profile list [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_profile_list/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli profile rename [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_profile_rename/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli profile show [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_profile_show/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli profile use [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_profile_use/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli release-channel [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_release-channel/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli release-channel add [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_release-channel_add/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli release-channel create [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_release-channel_create/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli release-channel diff [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_release-channel_diff/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli release-channel export [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_release-channel_export/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli release-channel get [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_release-channel_get/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli release-channel list [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_release-channel_list/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli release-channel update [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_release-channel_update/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli terminal [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_terminal/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
Getting started with the Apollo CLI,https://www.palantir.com/docs/apollo/apollo-getting-started/apollo-cli-getting-started/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Getting started
Getting started with Apollo,https://www.palantir.com/docs/apollo/apollo-getting-started/getting-started-with-apollo/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Documentation | Apollo — Getting started | Apollo — Reference
Glossary,https://www.palantir.com/docs/apollo/apollo-getting-started/glossary/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Getting started
Connect an Environment,https://www.palantir.com/docs/apollo/apollo-getting-started/introduction-environments/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Getting started
Install a Release,https://www.palantir.com/docs/apollo/apollo-getting-started/introduction-install/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Getting started
Set maintenance windows,https://www.palantir.com/docs/apollo/apollo-getting-started/introduction-maintenance/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Getting started
Advanced Release creation,https://www.palantir.com/docs/apollo/apollo-getting-started/introduction-manifest/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Getting started
Apollo Getting Started — Introduction Next Steps,https://www.palantir.com/docs/apollo/apollo-getting-started/introduction-next-steps/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Getting started
Create a new Product and Product Release,https://www.palantir.com/docs/apollo/apollo-getting-started/introduction-products/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Getting started
Promote Releases,https://www.palantir.com/docs/apollo/apollo-getting-started/introduction-promotion/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Getting started
Recall a Release,https://www.palantir.com/docs/apollo/apollo-getting-started/introduction-recall/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Getting started
Apollo Introduction Guide,https://www.palantir.com/docs/apollo/apollo-getting-started/introduction-welcome/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Getting started
Set up your Apollo Hub,https://www.palantir.com/docs/apollo/apollo-getting-started/set-up-your-apollo-hub/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Getting started
Annotations,https://www.palantir.com/docs/apollo/apollo-product-specification/annotations/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
The Apollo Product Specification,https://www.palantir.com/docs/apollo/apollo-product-specification/apollo-product-spec-definition/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
Container Images,https://www.palantir.com/docs/apollo/apollo-product-specification/container-images/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
Health,https://www.palantir.com/docs/apollo/apollo-product-specification/health/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
The Product Manifest,https://www.palantir.com/docs/apollo/apollo-product-specification/manifest/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
Product Release Dependencies,https://www.palantir.com/docs/apollo/apollo-product-specification/product-dependencies/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
